"GEOCODIGO","MUNICIPIO"
1100023,"Ariquemes "
1100049,"Cacoal "
1100338,"Nova Mamoré "
1100940,"Cujubim "
1400472,"Rorainópolis "
1502939,"Dom Eliseu "
1506807,"Santarém "
1507508,"São João do Araguaia "
1600055,"Serra do Navio "
1600105,"Amapá "
1600535,"Porto Grande "
1600550,"Pracuúba "
1600600,"Santana "
1600709,"Tartarugalzinho "
1721000,"Palmas "
2100055,"Açailândia "
2102077,"Bom Lugar "
2107001,"Montes Altos "
2108009,"Pastos Bons "
2313104,"Tabuleiro do Norte "
2504603,"Conde "
2507507,"João Pessoa "
2600104,"Afogados da Ingazeira "
2601102,"Araripina "
2601201,"Arcoverde "
2602605,"Brejo da Madre de Deus "
2603454,"Camaragibe "
2604106,"Caruaru "
2604601,"Condado "
2606101,"Glória do Goitá "
2606309,"Granito "
2608909,"Limoeiro "
2611002,"Petrolândia "
2611101,"Petrolina "
2612505,"Santa Cruz do Capibaribe "
2613909,"Serra Talhada "
2701704,"Capela "
2703809,"Joaquim Gomes "
2802403,"Gararu "
2904209,"Botuporã "
2907301,"Castro Alves "
2913457,"Igrapiúna "
2913606,"Ilhéus "
2914406,"Iraquara "
2914604,"Irecê "
2914802,"Itabuna "
2915502,"Itajuípe "
2916005,"Itanhém "
2918001,"Jequié "
2919207,"Lauro de Freitas "
2919926,"Madre de Deus "
2921104,"Medeiros Neto "
2921906,"Mucugê "
2924405,"Pilão Arcado "
2928703,"Santo Antônio de Jesus "
2929909,"Seabra "
2930808,"Souto Soares "
2931350,"Teixeira de Freitas "
2931608,"Teolândia "
2932903,"Valença "
2933174,"Varzedo "
2933307,"Vitória da Conquista "
2933505,"Wenceslau Guimarães "
3101508,"Além Paraíba "
3105608,"Barbacena "
3114204,"Carmo do Cajuru "
3118106,"Congonhas do Norte "
3119401,"Coronel Fabriciano "
3124302,"Espinosa "
3126703,"Francisco Sá "
3132206,"Itaguara "
3134202,"Ituiutaba "
3134400,"Iturama "
3139003,"Machado "
3147105,"Pará de Minas "
3151800,"Poços de Caldas "
3162500,"São João del Rei "
3162708,"São João do Paraíso "
3204302,"Presidente Kennedy "
3205309,"Vitória "
3302205,"Itaperuna "
3303005,"Miracema "
3303906,"Petrópolis "
3513009,"Cotia "
3531209,"Monte Alegre do Sul "
3538709,"Piracicaba "
3547304,"Santana de Parnaíba "
3551504,"Serrana "
4101408,"Apucarana "
4105805,"Colombo "
4107652,"Fazenda Rio Grande "
4113304,"Laranjeiras do Sul "
4120853,"Quatro Pontes "
4126256,"Sarandi "
4128104,"Umuarama "
4201406,"Araranguá "
4202008,"Balneário Camboriú "
4205407,"Florianópolis "
4210001,"Luiz Alves "
4214805,"Rio do Sul "
4318705,"São Leopoldo "
5007406,"Rio Verde de Mato Grosso "
5102504,"Cáceres "
5106174,"Nova Nazaré "
5200050,"Abadia de Goiás "
5200258,"Águas Lindas de Goiás "
5200605,"Alto Paraíso de Goiás "
5201405,"Aparecida de Goiânia "
5204953,"Campos Verdes "
5205307,"Cavalcante "
5205497,"Cidade Ocidental "
5211909,"Jataí "
5218003,"Porangatu "
5218102,"Portelândia "
5218300,"Posse "
5218508,"Quirinópolis "
5219753,"Santo Antônio do Descoberto "
5220454,"Senador Canedo "
5221080,"Teresina de Goiás "
5221858,"Valparaíso de Goiás "
